Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City
678,"Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Adopted 18/05/2018. No longer current:R 2 (2021),Area protection and management,Area protection and management,"Resolution 3 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and MonumentsThe Representatives,Noting that Annex V to the Protocol on Environmental Protection to the Antarctic Treaty provides for the Antarctic Treaty Consultative Meeting (“ATCM”) to adopt proposals to designate an Antarctic Specially Protected Area (“ASPA”) or an Antarctic Specially Managed Area (“ASMA”), to adopt or amend a Management Plan for such an area, or to designate an Historic Site and Monument (“HSM”), by a measure in accordance with Article IX(1) of the Antarctic Treaty;Conscious of the need to ensure clarity concerning the current status of each ASPA and ASMA and its Management Plan, and each HSM;Recalling Resolution 1 (2008), which recommended that the Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments (“the Guide”), annexed to it, be used by those engaged in the preparation of such Working Papers;Recalling also Resolution 5 (2011), which updated the Guide to facilitate the collection of information to assist with the assessment and further development of the Antarctic protected areas system, and Resolution 5 (2016), which further updated the Guide to reflect further tools that could be used to identify protected areas within a systematic environmental-geographical framework;Noting Resolution 2 (2018) which recommended the use of Guidelines for the assessment and management of Heritage in Antarctica, which provides guidance with regard to required information for the purpose of HSM-listings;Desiring to update Template B of the Guide, to reflect the further guidance provided with regard to assessment of heritage in Antarctica;Recommend to their Governments that:1.	the revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments annexed to this Resolution be used by those engaged in the preparation of such Working Papers; and2.	the Secretariat of the Antarctic Treaty post the text of Resolution 5 (2016) on its website in a way that makes clear that it is no longer current.",Resolution 3,2018,ATCM XLI,CEP XXI,
677,Guidelines for the assessment and management of Heritage in Antarctica,Adopted 18/05/2018. No longer current:R 1 (2022),Area protection and management,Area protection and management,"Resolution 2 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Guidelines for the assessment and management of Heritage in AntarcticaThe Representatives,Recalling the requirement in Annex III to the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) to clean up past and present waste disposal sites on land and abandoned work sites of Antarctic activities;Recalling furthermore that Article 8 of Annex V to the Protocol provides for sites or monuments of recognised historic value to be listed as Historic Sites and Monuments (“HSM”), which shall not be damaged, removed or destroyed;Recalling also Measure 3 (2003), which revised and updated the List of Historic Sites and Monuments (“the List”), and subsequent Measures which have added further HSM to the List;Recalling further Resolution 3 (2009), which recommended that the Guidelines for the designation and protection of Historic Sites and Monuments be used by Parties as guidance on questions related to the designation, protection and preservation of historic sites, monuments, artefacts and other historic remains in Antarctica;Desiring to ensure that the process for designating HSM advances identification and protection of the recognised historic values of Antarctica;Noting the importance of consistency in the listing of HSM, the need to appropriately balance environmental protection and heritage conservation considerations in the management of HSM and the value of taking into account the growing expertise in the management of Antarctic heritage values;Recommend to their Governments that the non-mandatory Guidelines for the assessment and management of Heritage in Antarctica annexed to this Resolution be used by Parties as additional guidance on questions related to the assessment and management of sites/objects with heritage values in Antarctica.",Resolution 2,2018,ATCM XLI,CEP XXI,
676,Site Guidelines for visitors,Adopted 18/05/2018. No longer current:R 2 (2019),Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 1 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Site Guidelines for visitorsThe Representatives,Recalling Resolutions 5 (2005), 2 (2006), 1 (2007), 2 (2008), 4 (2009), 1 (2010), 4 (2011), 4 (2012), 3 (2013), 4 (2014) and 2 (2016) which adopted and updated lists of sites subject to Site Guidelines for visitors (“Site Guidelines”);Believing that Site Guidelines enhance the provisions set out in the Guidance for those organising and conducting tourism and non-governmental activities in the Antarctic annexed to Recommendation XVIII-1 (1994);Confirming that the term “visitors” does not include scientists conducting research within such sites, or individuals engaged in official governmental activities;Noting that Site Guidelines have been developed based on the current levels and types of visits at each specific site, and aware that Site Guidelines would require review if there were any significant changes to the levels or types of visits to a site;Believing that the Site Guidelines for each site must be reviewed and revised promptly in response to changes in the levels and types of visits, or in response to any demonstrable or likely environmental impacts;Desiring to keep the list of sites subject to Site Guidelines and the Site Guidelines up to date;Recommend to their Governments that:1.	Astrolabe Island; Georges Point, Rongé Island; and Portal Point be added to the list of sites subject to Site Guidelines annexed to this Resolution, and that the Site Guidelines for those sites, as adopted by the Antarctic Treaty Consultative Meeting, be added to the Site Guidelines;2.	the Secretariat of the Antarctic Treaty (“the Secretariat”) update its website accordingly;3.	their Governments urge all potential visitors to ensure that they are fully conversant with and adhere to the relevant Site Guidelines; and4.	the Secretariat post the text of Resolution 2 (2016) on its website in such a way that makes clear that it is no longer current.",Resolution 1,2018,ATCM XLI,CEP XXI,
675,Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Adopted 18/05/2018. No longer current:D 5 (2019),Institutional & legal matters,Institutional & legal matters,"Decision 3 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative MeetingThe Representatives,Reaffirming the values, objectives and principles contained in the Antarctic Treaty and its Protocol on Environmental Protection;Recalling Decision 3 (2012) on the Multi-Year Strategic Work Plan (“the Plan”) and its principles;Bearing in mind that the Plan is complementary to the agenda of the Antarctic Treaty Consultative Meeting (“ATCM”) and that the Parties and other ATCM participants are encouraged to contribute as usual to other matters on the ATCM agenda;Decide:1.  to adopt the Plan annexed to this Decision; and2.  that the Plan annexed to Decision 7 (2017) is no longer current.",Decision 3,2018,ATCM XLI,CEP XXI,
674,Renewal of the Contract of the Secretariat's External Auditor,Adopted 18/05/2018,Institutional & legal matters,Institutional & legal matters,"Decision 2 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Renewal of the Contract of the Secretariat's External AuditorThe Representatives,Recalling the Financial Regulations for the Secretariat of the Antarctic Treaty (“Financial Regulations for the Secretariat”) annexed to Decision 4 (2003), and specifically Regulation 11 (External Audit);Conscious that the Secretariat of the Antarctic Treaty (“the Secretariat”) conducts the majority of its financial transactions in Argentina, and that the detailed rules of book-keeping and accounting are country-specific;Noting Argentina’s proposal to designate the Sindicatura General de la Nación (“SIGEN”) as the external auditor of the Secretariat;Decide:1.	to designate SIGEN as the external auditor of the Secretariat for the Financial Years ending in 2018 to 2021, in accordance with Regulation 11.1 of the Financial Regulations for the Secretariat; and2.	to authorise the Executive Secretary to negotiate a contract with SIGEN to carry out annual external audits for the above-mentioned years in accordance with Regulation 11.3, the Annex to this Decision and the budgetary limits set by the Antarctic Treaty Consultative Meeting (“ATCM”).",Decision 2,2018,ATCM XLI,CEP XXI,
673,"Secretariat Report, Programme and Budget",Adopted 18/05/2018,Institutional & legal matters,Institutional & legal matters,"Decision 1 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Secretariat Report, Programme and BudgetThe Representatives,Recalling Measure 1 (2003) on the establishment of the Secretariat of the Antarctic Treaty;Recalling Decision 2 (2012) on the establishment of the open-ended Intersessional Contact Group on Financial Issues to be convened by the host country of the next Antarctic Treaty Consultative Meeting (“ATCM”);Bearing in mind the Financial Regulations for the Secretariat annexed to Decision 4 (2003);Decide:1.	to approve the audited Financial Report for 2016/17, annexed to this Decision (Annex 1);2.	to take note of the Secretariat Report 2017/18, which includes the Provisional Financial Report for 2017/18, annexed to this Decision (Annex 2);3.	to take note of the Five Year Forward Budget Profile 2019/20-2023/24 and approve the Secretariat Programme 2018/19, including the Budget for 2018/19, annexed to this Decision (Annex 3); and4.	to invite the host country for the next Antarctic Treaty Consultative Meeting to request that the Executive Secretary open the ATCM forum for the open-ended Intersessional Contact Group on Financial Issues, and provide assistance to it.",Decision 1,2018,ATCM XLI,CEP XXI,
672,"Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 6 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling Measure 9 (2012) which designated Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land as ASPA 172 and adopted a Management Plan for the Area;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 172;Desiring to replace the existing Management Plan for ASPA 172 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.  the revised Management Plan for Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 172 annexed to Measure 9 (2012) be revoked.",Measure 6,2018,ATCM XLI,CEP XXI,
671,"Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 5 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Measure 4 (2008) which designated Marion Nunataks, Charcot Island, Antarctic Peninsula as ASPA 170 and adopted a Management Plan for the Area;·	Measure 16 (2013), which adopted a revised Management Plan for ASPA 170;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 170;Desiring to replace the existing Management Plan for ASPA 170 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.  the revised Management Plan for Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula), which is annexed to this Measure, be approved; and2.  the Management Plan for Antarctic Specially Protected Area No 170 annexed to Measure 16 (2013) be revoked.",Measure 5,2018,ATCM XLI,CEP XXI,
670,"Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 4 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation XV-6 (1989), which designated Ablation Valley and Ganymede Heights, Alexander Island as Site of Special Scientific Interest (“SSSI”) No 29 and annexed a Management Plan for the site;·	Resolution 3 (1996), which extended the expiry date for SSSI 29;·	Measure 2 (2000), which extended the expiry date for the Management Plan for SSSI 29;·	Decision 1 (2002), which renamed and renumbered SSSI 29 as ASPA 147;·	Measures 1 (2002) and 10 (2013), which adopted revised Management Plans for ASPA 147;Recalling that Recommendation XV-6 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 147;Desiring to replace the existing Management Plan for ASPA 147 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 147 annexed to Measure 10 (2013) be revoked.",Measure 4,2018,ATCM XLI,CEP XXI,
669,"Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 3 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation XIII-8 (1985), which designated Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 13 and annexed a Management Plan for the site;·	Measure 3 (1997), which annexed a revised Management Plan for SSSI 13;·	Decision 1 (2002), which renamed and renumbered SSSI 13 as ASPA 132;·	Measures 2 (2005) and 4 (2013), which adopted revised Management Plans for ASPA 132;Recalling that Measure 3 (1997) has not become effective yet;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 132;Desiring to replace the existing Management Plan for ASPA 132 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for the Antarctic Specially Protected Area No 132 annexed to Measure 4 (2013) be revoked.",Measure 3,2018,ATCM XLI,CEP XXI,
668,"Antarctic Specially Protected Area No 117 (Avian Island, Marguerite Bay, Antarctic Peninsula): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 2 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 117 (Avian Island, Marguerite Bay, Antarctic Peninsula): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation XV-6 (1989), which designated Avian Island, North-West Marguerite Bay as Site of Special Scientific Interest (“SSSI”) No 30 and annexed a Management Plan for the site;·	Recommendation XVI-4 (1991), which redesignated SSSI 30 as Specially Protected Area (“SPA”) No 21 and annexed a revised Management Plan for the Area;·	Decision 1 (2002), which renamed and renumbered SPA 21 as ASPA 117;·	Measures 1 (2002) and 2 (2013), which adopted revised Management Plans for ASPA 117;Recalling that Recommendations XV-6 (1989) and XVI -4 (1991) did not become effective and were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 117;Desiring to replace the existing Management Plan for ASPA 117 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 117 (Avian Island, Marguerite Bay, Antarctic Peninsula), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 117 annexed to Measure 2 (2013) be revoked.",Measure 2,2018,ATCM XLI,CEP XXI,
667,"Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan",Effective 16/08/2018 (Fast Approval),Area protection and management,Area protection and management,"Measure 1 (2018) - ATCM XLI - CEP XXI, Buenos Aires","Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty, providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation IV-9 (1966), which designated Green Island, Berthelot Islands, Antarctic Peninsula as Specially Protected Area (“SPA”) No 9;·	Recommendation XVI-6 (1991), which annexed a Management Plan for the Area;·	Decision 1 (2002), which renamed and renumbered SPA 9 as ASPA 108;·	Measures 1 (2002) and 1 (2013), which adopted revised Management Plans for ASPA 108;Recalling that Recommendation IV-9 (1966) was designated as no longer current by Decision 1 (2011) and that Recommendation XVI-6 (1991) did not become effective and was withdrawn by Decision 3 (2017);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 108;Desiring to replace the existing Management Plan for ASPA 108 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula), which is annexed to this Measure, be approved; and2. the Management Plan for the Antarctic Specially Protected Area No 108 annexed to Measure 1 (2013) be revoked.",Measure 1,2018,ATCM XLI,CEP XXI,
666,Procedures for intersessional CEP consideration of draft CEEs,Adopted 01/06/2017,Environmental impact assessment,Environmental impact assessment,"Adopted by CEP XX (Beijing, 2017)",(86)	The Committee agreed to update the Procedures for intersessional CEP consideration of draft CEEs (Appendix 3) to include the following standard ToR:•	Whether the CEE: i) has identified all the environmental impacts of the proposed activity; and ii) suggests appropriate methods of mitigating (reducing or avoiding) those impacts.,,2017,,CEP XX,
665,Procedure upon receiving invitations from the U.N. Secretariat,Adopted 01/06/2017,General matters,General matters,"Other, adopted by ATCM XL - CEP XX (Beijing, 2017)","Procedure upon receiving invitations from the U.N. SecretariatThe Meeting agreed that in the event that the Secretariat received any further invitations from the United Nations Secretariat pertaining to the process referred to in General Assembly Resolution 69/292, the Secretariat would circulate the invitation immediately to all Parties. It was agreed that unless any objection was received within 14 days of the circulation, the Secretariat would respond using the following language:Dear Sir/Madam,I have the pleasure of acknowledging receipt of your letter of (X DATE), which has been transmitted to the Antarctic Treaty Consultative Parties. Thank you for such a kind invitation. I take this opportunity to recall that the Antarctic Treaty System is the competent framework within which to address the conservation and sustainable use of biodiversity in the Antarctic region.Executive SecretaryAntarctic Treaty Secretariat",,2017,ATCM XL,CEP XX,
664,"Guidelines on Contingency Planning, Insurance and Other Matters for Tourist and Other Non-Governmental Activities in the Antarctic Treaty Area",Adopted 01/06/2017,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 6 (2017) - ATCM XL - CEP XX, Beijing","Guidelines on Contingency Planning, Insurance and Other Matters for Tourist and Other Non-Governmental Activities in the Antarctic Treaty AreaThe Representatives,Welcoming the entry into force of the International Code for Ships Operating in Polar Waters (Polar Code);Remaining concerned at the potential impacts, including the imposition of additional costs, that tourist or other non-governmental activities may have on national programmes, and the risk to the safety of those involved in search and rescue operations;Desiring to ensure that tourist or other non-governmental activities undertaken in Antarctica are carried out in a safe and self-sufficient manner;Desiring further to ensure that the risks associated with tourist or other non-governmental activities are fully identified in advance, and minimised;Recalling the “Procedures to be Followed by Organisers and Operators”, as set out in the Guidance for Visitors to the Antarctic, and the Guidance for Those Organising and Conducting Tourism and Non-governmental Activities in the Antarctic annexed to Recommendation XVIII-1;Noting Measure 4 (2004) Insurance and Contingency Planning for Tourism and Non-governmental Activities in the Antarctic Treaty Area, and desiring to take certain steps before it enters into effect to promote its objectives in addition to recommending further guidelines to be followed by those organising or conducting activities without the supervision or support in the field of another operator or a national programme;Recommend that:1. Parties should require those under their jurisdiction organising or conducting tourist or other non-governmental activities in the Antarctic Treaty area, for which advance notification is required in accordance with paragraph 5 of Article VII of the Antarctic Treaty, to follow the Guidelines annexed to this Resolution; and2. the Secretariat of the Antarctic Treaty post the text of Resolution 4 (2004) Guidelines on Contingency Planning, Insurance and Other Matters for Tourist and Other Non-governmental Activities in the Antarctic Treaty Area on its website in a way that makes clear that it is no longer current.",Resolution 6,2017,ATCM XL,CEP XX,Beijing
663,Establishment of the Ross Sea Region Marine Protected Area,Adopted 01/06/2017,Marine living resources,Marine living resources,"Resolution 5 (2017) - ATCM XL - CEP XX, Beijing","Establishment of the Ross Sea Region Marine Protected AreaThe Representatives,Recalling Resolution 1 (2006) in which the Consultative Parties, conscious that the Convention on the Conservation of Antarctic Marine Living Resources is an integral part of the Antarctic Treaty system, encouraged increased cooperation at the practical level between the Antarctic Treaty Consultative Meeting (“ATCM”) and the Commission for the Conservation of Antarctic Marine Living Resources (“CCAMLR”);Recognising the contributions of the ATCM in the designation and implementation of Antarctic Specially Protected Areas and Antarctic Specially Managed Areas, and of CCAMLR in the designation and implementation of marine protected areas to conserve important areas of the Antarctic marine environment;Noting the agreement reached at the 35th meeting of  CCAMLR to establish the Ross Sea Region Marine Protected Area (“RSRMPA”), commencing on 1 December 2017;Recalling freedom of scientific investigation in Antarctica as enshrined in Article II of the Antarctic Treaty and recognising the importance of scientific research and monitoring to support and evaluate progress in achieving the objectives of the RSRMPA, as well as international collaboration in such research and monitoring;Noting that CCAMLR Conservation Measure 91-05 provides for the regular review of the RSRMPA;Noting the importance of collaboration between the ATCM and CCAMLR;Recommend that their Governments:1. welcome the establishment of the Ross Sea Region Marine Protected Area (“RSRMPA”) as an important contribution towards the conservation of Southern Ocean ecosystems and biodiversity;2. encourage Antarctic Treaty Parties that are not Members of the Commission for the Conservation of Antarctic Marine Living Resources (“CCAMLR”) to familiarise themselves with CCAMLR Conservation Measure 91-05, including the Management Plan and the forthcoming Research and Monitoring Plan for the RSRMPA, and to encourage, as appropriate, compliance with relevant RSRMPA management measures;3. invite the Committee on Environmental Protection to consider any appropriate actions within the Antarctic Treaty Consultative Meeting’s competence to contribute to the achievement of the specific objectives set forth in CCAMLR Conservation Measure 91-05, particularly in the designation and implementation of Antarctic Specially Protected Areas and Antarctic Specially Managed Areas in the Ross Sea region and the management of relevant human activities; and4. identify opportunities to conduct and support relevant research and monitoring activities that support the objectives and the forthcoming Research and Monitoring Plan of the RSRMPA, in particular through international collaborations.",Resolution 5,2017,ATCM XL,CEP XX,Beijing
662,Green Expedition in the Antarctic,Adopted 01/06/2017,Environmental protection,Environmental protection,"Resolution 4 (2017) - ATCM XL - CEP XX, Beijing","Green Expedition in the AntarcticThe Representatives,Recalling that the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) designates “Antarctica as a natural reserve, devoted to peace and science” and sets out environmental principles which provide guidance for scientific activities, as supported and prioritised both by the Antarctic Treaty and the Protocol;Recognising that achievements from scientific investigations conducted by the National Antarctic Programmes of the Parties, usually in the name of Antarctic Expedition, contribute greatly to the understanding of Antarctica and its role in global natural processes;Recognising the legal requirements of, and the benefits that can be gained from, conducting an appropriate Environmental Impact Assessment (“EIA”) that highlights how to improve the environmental efficiency of the activity and address cumulative impacts;Noting that there are growing scientific interests and needs in Antarctica, which may result in additional research and associated logistic supporting activities and also increased pressures on local environments, and that more consideration should be given to the balance between environmental protection and scientific activities;Recalling that Parties commit to protect the Antarctic environment and dependent and associated ecosystems;Recognising that the Protocol and its Annexes in force and the effective Measures which are binding tools and some current Resolutions adopted at the Antarctic Treaty Consultative Meeting (“ATCM”) by consensus all together contribute to protect the Antarctic environment, and that the Committee for Environmental Protection and the ATCM work continuously to further improve regulation in order to reach the objectives of the Antarctic Treaty and the Protocol;Acknowledging that environmentally-friendly activities in the Antarctic are much appreciated and encouraged;Desiring to build the concept of Green Expedition which is based on the ideals of efficiency, harmony and sustainability and aimed at taking all available methods (including those contained in current Resolutions and new ones from the advancement of modern management and technology) to reduce human impact;Recommend that their Governments:1.	reaffirm their commitment to protect the Antarctic environment and dependent and associated ecosystems and to encourage collaborative efforts to this end;2.	support the concept of Green Expedition by encouraging their National Antarctic Programmes to conduct science in an environmentally-friendly manner in the Antarctic;3.	encourage their National Antarctic Programmes to work more closely with other Parties, including through participation and interaction with organisations such as Scientific Committee for Antarctic Research (“SCAR”) and the Council of Managers of National Antarctic Programs (“COMNAP”), to develop more collaborative projects and to promote the sharing of experiences and advanced technology; and4.	produce high-quality Environmental Impact Assessments when new activities are planned that include as far as possible best practices to prevent and minimise environmental impact.",Resolution 4,2017,ATCM XL,CEP XX,Beijing
661,Revised Antarctic Conservation Biogeographic Regions,Adopted 01/06/2017,Area protection and management,Area protection and management,"Resolution 3 (2017) - ATCM XL - CEP XX, Beijing","Revised Antarctic Conservation Biogeographic RegionsThe Representatives,Recalling Article 3 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty which provides for the designation of Antarctic Specially Protected Areas;Recalling that paragraph 2 of Article 3 of Annex V states that Parties shall seek to identify such areas “within a systematic environmental-geographical framework”;Recalling also that the preamble to Resolution 6 (2012) welcomed “the classification of the ice-free areas of the Antarctic continent and close lying islands within the Antarctic Treaty area into 15 biologically distinct Antarctic Conservation Biogeographic Regions”;Welcoming the advice of the Committee for Environmental Protection that the Antarctic Conservation Biogeographic Regions should be updated to reflect the most recent analyses of the spatial distribution of Antarctic terrestrial biodiversity, including the identification of a 16th biologically distinct region;Recommend to their Governments that:1.	the revised Antarctic Conservation Biogeographic Regions annexed to this Resolution (“ACBRs Version 2”) be used in conjunction with the Environmental Domains Analysis and other tools agreed within the Antarctic Treaty system to support activities relevant to the interests of the Parties, including as a dynamic model for the identification of areas that could be designated as Antarctic Specially Protected Areas within the systematic environmental-geographical framework referred to in paragraph 2 of Article 3 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty; and2.	the Antarctic Treaty Secretariat post the text of Resolution 6 (2012) on its website in a way that makes clear that it is no longer current.",Resolution 3,2017,ATCM XL,CEP XX,Beijing
660,SCAR’s Code of Conduct for the Exploration and Research of Subglacial Aquatic Environments,Adopted 01/06/2017,Environmental protection,Environmental protection,"Resolution 2 (2017) - ATCM XL - CEP XX, Beijing","SCAR’s Code of Conduct for the Exploration and Research of Subglacial Aquatic EnvironmentsThe Representatives,Recalling Article 3 of the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”), which requires that activities in the Antarctic Treaty area shall be planned and conducted so as to limit adverse impacts on the Antarctic environment and dependent and associated ecosystems;Recognising that subglacial aquatic environments in Antarctica may support exceptional and potentially unique and diverse microbiological communities and consequently may be of high scientific value;Recognising also the growing scientific interest in subglacial research;Acknowledging that these environments may be at risk from impacts associated with research activities, including through the introduction of non-native microbial species or release of contaminants;Welcoming the development by the Scientific Committee on Antarctic Research (“SCAR”) through broad consultation, including with the input of the Council of Managers of National Antarctic Programs (“COMNAP”), of SCAR’s Code of Conduct for the Exploration and Research of Subglacial Aquatic Environment that Parties can apply and use, as appropriate, to assist with meeting their obligations under the Protocol;Recommend that their Governments:1.	endorse the non-mandatory SCAR’s Code of Conduct for the Exploration and Research of Subglacial Aquatic Environments (“the Code of Conduct”) as representing current best practice for planning and undertaking activities in subglacial aquatic environments in Antarctica; and2.	encourage the consideration of the Code of Conduct during the environmental impact assessment process for activities to be conducted within subglacial aquatic environments and encourage their researchers to be fully conversant with and adhere to the contents of the Code of Conduct in conducting research activities on subglacial aquatic environments.",Resolution 2,2017,ATCM XL,CEP XX,Beijing
